country,long,lat
French,46.227638,2.213749
Sardinia,40.119771,9.039346
Orcadian,59.000401,-3.150496
Bergamo,45.696779, 9.664171
Tuscan,43.403409,11.056504
Basque,43.012908,-2.633255
Bulgarian,42.733883,25.48583
Hungarian,47.162494,19.503304
Lithuanian,55.169438,23.881275
Belarusian,53.709807,27.953389
Ukrainian,48.379433,31.16558
Estonian,58.595272,25.013607
Czech,49.817492,15.472962
Icelandic,64.963051,-19.020835
Greek,39.074208,21.824312
Scottish,56.788978,-4.203599
English,52.281750,-1.369126
Spanish,40.463667,-3.74922
Spanish_North,42.811700,-6.027329
Croatian,45.1,15.2
Norwegian,60.472024,8.468946
Albanian,41.153332,20.168331
French_South,44.056186,2.981460
